Project,Total Items,Without Javadoc,Javadoc Missing %
"abmis",749,624,83.31%
"afsspoc",798,644,80.70%
"Aged-care",722,599,82.96%
"amri",997,828,83.05%
"amri-new",814,650,79.85%
"ansat",846,683,80.73%
"apiTest",796,643,80.78%
"aqsacomTimesheet",905,731,80.77%
"asset",953,787,82.58%
"avalondental",634,522,82.33%
"benTest",700,577,82.43%
"binder",1098,868,79.05%
"bkfa-poc",794,641,80.73%
"caaps-ai-capture-skyve",1210,860,71.07%
"catologer-poc",843,679,80.55%
"cbs",865,702,81.16%
"completepest-poc",747,622,83.27%
"construction",934,761,81.48%
"corporate-registers",1226,1020,83.20%
"covid19",728,609,83.65%
"covid19tracker",749,637,85.05%
"cpc",907,742,81.81%
"ctp-claim-register",1758,1289,73.32%
"cybersource-poc",807,650,80.55%
"dairysafe",3359,2726,81.16%
"dairysafe-training",1147,956,83.35%
"dev-guide-examples",708,585,82.63%
"dew-forms",1406,1083,77.03%
"directer",973,809,83.14%
"dkb",915,753,82.30%
"docker-test",778,631,81.11%
"elixan",1026,835,81.38%
"equineemotionsurvey",690,574,83.19%
"excel-farms",1089,800,73.46%
"fircy-sense",812,656,80.79%
"flowableTest",871,700,80.37%
"formsNFlowsDemo",1866,1383,74.12%
"foundry-template-helloWorld",796,643,80.78%
"geoip-test",816,657,80.51%
"gerardmccabe",578,472,81.66%
"gnaf",696,576,82.76%
"grape_industry_kiosk",1721,1339,77.80%
"grid",1585,1226,77.35%
"hierarchyExample",841,671,79.79%
"htrtennis",975,793,81.33%
"implantbilling-git",1000,805,80.50%
"instruments",1084,869,80.17%
"iqms",1291,982,76.07%
"labportal",1152,945,82.03%
"lawson-ap",1443,955,66.18%
"lawson-mvp",863,704,81.58%
"MAIASQA",937,742,79.19%
"mediation",1008,729,72.32%
"MVPERP",644,535,83.07%
"nextgen",965,785,81.35%
"onesurance",793,641,80.83%
"onesurancerater",709,586,82.65%
"outreach",1068,883,82.68%
"policy-assistant",864,689,79.75%
"pps-returns",1442,1086,75.31%
"promote",1971,1130,57.33%
"PYI",817,663,81.15%
"questionnaireTest1",850,675,79.41%
"recruitmentregister",896,723,80.69%
"regulatoryPlanningSystem",881,710,80.59%
"reportcard",876,719,82.08%
"rise",866,704,81.29%
"rufis",1593,1182,74.20%
"sainta",1421,1192,83.88%
"sams",1383,1105,79.90%
"sap-poc",786,634,80.66%
"sasqap",1077,838,77.81%
"scats",1091,880,80.66%
"school",908,726,79.96%
"school-portal-poc",723,598,82.71%
"select-many",806,646,80.15%
"service-excellence",1001,796,79.52%
"simple-sales-crm",966,805,83.33%
"simpsons",617,512,82.98%
"simpsons-quiz",816,655,80.27%
"SkyERP",713,588,82.47%
"skyve-azuread",792,639,80.68%
"skyve-comply",1142,895,78.37%
"skyve-data-cleansing",825,673,81.58%
"skyve-data-mesh",1068,817,76.50%
"skyve-day",801,648,80.90%
"skyve-flows",1064,782,73.50%
"skyve-forms",1443,1085,75.19%
"skyve-foundry",2493,2056,82.47%
"skyve-mfa",792,639,80.68%
"skyve-payment-services",1010,758,75.05%
"skyve-regression",891,672,75.42%
"skyve-training",1095,922,84.20%
"skyve-wildcat",1155,801,69.35%
"smew",926,755,81.53%
"sportage",1501,1155,76.95%
"swimcare",869,741,85.27%
"table-row-condition-test",800,645,80.63%
"tabs-poc",809,657,81.21%
"tabs2",2526,1891,74.86%
"testApp",651,537,82.49%
"the-clothier",1140,929,81.49%
"todoapp",595,493,82.86%
"toysNTucker",1034,843,81.53%
"tpl",770,632,82.08%
"training",1084,921,84.96%
"vendome",606,509,83.99%
"vistahill",2125,1580,74.35%
"vote",643,539,83.83%
"waste",933,752,80.60%
"wawa-member-portal",1295,1023,79.00%
"xchainge",857,727,84.83%
"zeus-ui",661,554,83.81%
